Year,Month,Minimum Monthly Rainfall(mm),Maximum Monthly Rainfall(mm),Total Rainfall(mm)
2020,12,0.00,75.00,324.00
2021,1,0.00,134.00,714.00
2021,2,0.00,78.00,351.00
2021,3,0.00,95.00,411.00
2021,4,0.00,64.00,318.00
2021,5,0.00,3.00,4.00
2021,6,0.00,18.00,21.00
2021,7,0.00,14.00,24.00
2021,8,0.00,10.00,22.00
2021,9,0.00,24.00,33.00
